date,1wire,AcuLink,AcuLinkBridge,AcuRite,AcuRiteInternetBridge,CC3000,Csv,Custom,DL4Logger,FileParse,FineOffsetUSB,Hackulink,Interceptor,KLP,KlimaLogg,Mcp2515,Meteostick,Mysql,Netlink,OWFS,ObserverIP,PeetBros,Raspberry_pi,RfxCmd,RfxCmdMB,RpiMeteo,SDR,Si1000,Simulator,SocketLogger,Stockert,Swallow,TE923,Ultimeter,Vantage,VantagePro2,VueISS,W0CHP,WH2300,WH23xx,WMR100,WMR100EXT,WMR200,WMR300,WMR9x8,WS 1001,WS 1400 IP,WS1,WS23xx,WS28xx,WS981,WX_LSVA,Wanet3,WeatherLink,WeatherLinkIP,netatmo,observerip,wanet3,totals
20131106,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,35
20131107,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,40
20131108,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,45
20131109,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,5,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,50
20131109,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,1,0,3,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,47
20131110,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,1,0,4,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,52
20131111,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,1,0,4,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,57
20131113,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,18,1,0,0,0,0,3,0,4,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,61
20131116,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,3,0,4,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,64
20131117,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,5,0,4,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,68
